reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
27.124.21.159,4,11,25684.top,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.240.198,4,0,aimbeatsoftech.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.232.142,4,-2,aixiangsui520.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
109.73.161.210,4,-182,bamu.ac.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
14.139.230.99,4,-531403,bcetgsp.ac.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
109.73.164.26,4,2,bombaysamachar.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
109.73.161.139,4,-85,brtc.org.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.202.49,4,-22,dbuniversity.ac.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
122.176.18.199,4,6,DNS Server: abts-north-static-199.18.176.122.airtelbroadband.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
61.246.33.46,4,-8,DNS Server: mai.interactiveshades.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
182.71.61.207,4,-839923579,DNS Server: nsg-static-207.61.71.182.airtel.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
165.231.253.163,4,-4,DoH server: cs-india,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.105.23,4,-5,ezyschooling.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.47.97,4,-16,godavarilodge.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.200.225,4,-7834,goodspace.ai,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.138.121,4,-4,hack2skill.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
109.73.164.242,4,-220,iimtrichy.ac.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
109.73.166.107,4,-40,indiaforensic.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
14.139.226.51,4,22,isid.ac.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.82.50,4,-45,justwravel.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
103.13.242.121,4,143,lifecarehll.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
27.124.21.243,4,1,mdty72.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
27.124.21.233,4,1,mdty72.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
122.176.150.189,4,-25,mlmtrees.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
34.131.28.173,4,-22,noupidi.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
43.231.56.6,4,-7,Ookla Speedtest Server 15328: speedtest-del01.gtpl.net,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
103.97.46.220,4,-12,Ookla Speedtest Server 26411: stdel.estointernet.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
103.70.152.4,4,-3,Ookla Speedtest Server 27039: speedtest.gayatricable.co.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
202.129.211.252,4,-32,Ookla Speedtest Server 28420: noida-sptest.ishancloud.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
122.252.232.218,4,-1,Ookla Speedtest Server 34104: delhi.speedtest.railtel.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
103.186.48.122,4,5,Ookla Speedtest Server 35875: speedtest.ekowebtech.net,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
45.120.126.66,4,-11,Ookla Speedtest Server 38375: ooklaserver1-del1.skymaxbroadband.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
139.5.252.245,4,12,Ookla Speedtest Server 49231: speedtest.pat.excitel.in,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
