reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
190.64.16.36,4,783387,anep.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Reducto
45.228.65.55,4,1,bicocas.com,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
190.64.211.149,4,59932,ceip.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Pocitos
190.0.134.20,4,3,ces.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
164.73.76.13,4,17556,cienciassociales.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
179.27.60.69,4,-1,correo.com.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
200.40.79.215,4,678,cronicas.com.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
164.73.98.153,4,3,csic.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Sayago
200.40.79.197,4,468,cuti.org.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
152.156.126.74,4,23,DNS Server: 152.156.126-74-dynamic.movinet.com.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
200.40.79.199,4,116,henciclopedia.org.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
45.228.65.108,4,8,mbww.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
164.73.128.105,4,25,rau.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
164.73.144.23,4,-452877,scielo.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
164.73.128.29,4,-1,universidad.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
200.40.204.186,4,-1,uruguaynatural.com,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Centro
200.40.135.139,4,1170,uruguaytotal.com,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Centro
190.0.150.11,4,101,utu.edu.uy,UY,Americas,Latin America and the Caribbean,Uruguay,Montevideo Department,,Montevideo
