reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
82.220.37.2,4,5,123ben.ch,CH,Europe,Western Europe,Switzerland,Zug,,Zug
82.220.34.229,4,6,123transfer.ch,CH,Europe,Western Europe,Switzerland,Zug,,Zug
82.220.37.30,4,30,almodovar.at,CH,Europe,Western Europe,Switzerland,Zug,,Zug
176.10.97.16,4,47,charkov.ru,CH,Europe,Western Europe,Switzerland,Zug,,
81.63.169.142,4,-82,DNS Server: 142.169.63.81.static.wline.lns.sme.cust.swisscom.ch,CH,Europe,Western Europe,Switzerland,Zug,,Cham
84.253.0.146,4,-20860,DNS Server: 146.0.253.84.static.wline.lns.sme.cust.swisscom.ch,CH,Europe,Western Europe,Switzerland,Zug,,Zug
31.10.243.92,4,4,DNS Server: 31-10-243-92.static.upc.ch,CH,Europe,Western Europe,Switzerland,Zug,,Zug
91.192.102.107,4,4,euroavia24.com,CH,Europe,Western Europe,Switzerland,Zug,,
82.220.37.15,4,68,european-arachnology.org,CH,Europe,Western Europe,Switzerland,Zug,,Zug
185.195.69.193,4,6,glopages.ru,CH,Europe,Western Europe,Switzerland,Zug,,
82.220.38.77,4,7,kajinga.com,CH,Europe,Western Europe,Switzerland,Zug,,Zug
82.220.34.48,4,7,lobotomo.com,CH,Europe,Western Europe,Switzerland,Zug,,Zug
82.220.37.11,4,7,metason.net,CH,Europe,Western Europe,Switzerland,Zug,,Zug
176.10.124.188,4,3,my-obzor.com,CH,Europe,Western Europe,Switzerland,Zug,,
212.71.126.221,4,-78,myfarm.ch,CH,Europe,Western Europe,Switzerland,Zug,,Baar
82.220.34.233,4,29,myhosttech.eu,CH,Europe,Western Europe,Switzerland,Zug,,Zug
82.220.38.154,4,44,offizieller-registrar.ch,CH,Europe,Western Europe,Switzerland,Zug,,Zug
82.220.34.82,4,7,pr-inside.com,CH,Europe,Western Europe,Switzerland,Zug,,Zug
82.220.34.4,4,10,safeexambrowser.org,CH,Europe,Western Europe,Switzerland,Zug,,Zug
91.192.102.71,4,5,z-pryvitannyam.com.ua,CH,Europe,Western Europe,Switzerland,Zug,,
